Year,Month,Day,Hour,Minute,Second,N_Lat,E_Long,Depth,Mag
2011,9,7,6,7,33.97,10.057,125.963,138,5.9
2011,9,12,7,30,35.9,5.765,127.764,142,5.6
2011,9,29,5,16,29.03,8.312,126.993,1,5.6
2011,10,1,4,21,50.21,7.446,123.926,621,5.8
2011,11,5,23,28,0.35,6.706,123.87,573,5.6
2011,11,7,9,43,8.67,7.993,125.013,1,5.7
2011,11,29,8,29,27.35,14.07,119.214,62,5.6
2011,11,30,0,27,7.41,15.465,119.019,16,6.2
2011,12,23,4,27,9.76,13.074,120.313,22,5.8
2011,12,26,20,34,38.01,9.355,126.489,6,5.7
2012,1,7,18,1,0.56,19.286,121.254,13,5.6
2012,1,12,0,19,2.29,8.394,125.867,1,5.6
2012,1,14,16,36,24.78,19.167,121.143,28,5.9
2012,1,17,10,0,20.9,6.518,125.877,90,5.7
2012,1,17,12,55,33.37,11.302,126.127,16,6.2
2012,1,20,22,50,52.67,4.83,125.012,51,5.6
2012,1,24,10,34,17.99,8.544,126.124,191,5.8
2012,1,28,0,17,9.1,13.554,124.737,22,5.9
2012,1,28,4,46,24.04,19.388,120.981,26,5.4
2012,1,29,0,6,51.72,5.806,124.898,372,5.7
2012,2,1,4,30,49.36,11.733,125.739,21,5.4
2012,2,4,13,9,20.96,12.101,126.16,19,5.9
2012,2,4,13,19,37.81,12.178,126.107,48,5.9
2012,2,4,19,29,11.8,12.147,126.122,2,5.9
2012,2,6,3,49,11.42,9.968,123.165,5,6.9
2012,2,6,4,20,0.59,10.069,123.15,13,5.9
2012,2,6,10,10,17.5,9.915,123.172,1,6.5
2012,2,6,11,33,36.18,9.917,123.111,6,6
2012,2,6,11,40,15.37,9.929,123.075,8,5.8
2012,2,6,16,46,43.87,5.805,124.049,497,5.6
2012,2,7,20,37,44.75,10.151,123.257,10,5.7
2012,2,7,21,59,12.19,10.063,123.245,7,5.8
2012,2,24,5,42,24.38,9.99,126.179,18,5.6
2012,3,5,23,6,26.23,12.401,123.637,7,5.8
2012,3,8,15,30,21.97,13.547,120.32,4,5.7
2012,3,8,20,3,11.95,13.507,120.203,5,5.9
2012,3,16,7,58,3.93,9.977,125.599,17,6.2
2012,5,5,18,43,19.17,5.818,126.603,70,5.6
2012,5,9,4,35,0,6.466,127.577,40,5.7
2012,6,3,13,51,42.22,6.575,124.02,631,5.9
2012,6,11,13,31,45.45,6.65,123.853,604,5.7
2012,6,15,1,14,7.06,5.566,126.421,11,6.3
2012,6,16,22,18,46.16,15.618,119.323,23,6.3
2012,7,5,8,14,14.38,4.637,126.562,71,5.9
2012,7,14,20,12,6.91,14.931,119.464,1,5.7
2012,7,29,3,4,38.74,7.86,126.472,8,5.6
2012,8,7,5,3,42.69,13.808,119.755,32,5.7
2012,8,31,12,47,31.4,10.919,127.053,51,7.6
2012,8,31,13,14,54.7,10.719,127.085,33,6.7
2012,8,31,13,27,21.66,10.826,127.179,108,6.5
2012,8,31,13,36,22.46,10.686,127.561,34,6.1
2012,8,31,15,59,24.25,10.826,126.883,72,5.6
2012,8,31,23,37,54.7,10.523,126.88,32,6.2
2012,9,1,0,24,58.14,10.333,126.619,1,5.9
2012,9,1,12,27,15.91,10.606,127.061,42,5.8
2012,9,2,14,42,13.12,11.409,126.704,27,5.9
2012,9,2,17,53,28.28,10.998,126.872,26,5.6
2012,9,2,18,30,9.16,10.694,127.058,54,5.7
2012,9,3,2,14,35.3,10.432,126.898,7,5.8
2012,9,3,6,49,46.65,6.539,123.58,1,6.2
2012,9,3,19,44,22.19,7.914,124.883,5,6.1
2012,9,4,0,50,47.56,10.674,127.1,33,5.9
2012,9,4,6,42,57.79,10.784,126.883,91,6
2012,9,4,6,58,0.15,10.702,126.77,22,6
2012,9,4,9,58,3.96,10.55,127.127,101,5.8
2012,9,4,14,43,12.8,10.696,127.285,83,5.8
2012,9,4,15,11,7.9,10.798,127.085,28,5.9
2012,9,4,23,12,37.2,10.676,126.88,46,5.6
2012,9,5,0,35,28.6,11.636,126.492,4,5.8
2012,9,7,10,43,7.8,7.115,127.159,8,5.6
2012,9,10,11,23,18.2,3.369,126.746,47,5.7
2012,9,13,5,54,47.7,10.472,127.116,37,5.6
2012,9,15,7,3,57.8,12.721,125.833,24,5.8
2012,9,15,10,26,21.3,12.718,125.793,23,5.9
2012,9,20,21,21,3.1,5.844,126.558,79,5.9
2012,9,21,15,24,59.3,9.741,126.89,86,5.6
2012,9,21,15,26,52.5,9.766,126.989,28,5.7
2012,9,23,6,30,28.3,12.942,124.986,51,5.7
2012,9,29,14,12,1.2,13.846,120.538,126,5.8
2012,10,2,6,25,28.86,8.192,123.081,24,5.8
2012,10,3,18,28,41.62,6.543,126.621,162,5.8
2012,10,4,1,55,15.98,13.085,120.327,28,5.8
2012,10,4,14,45,28.54,9.863,126.613,19,5.8
2012,10,4,17,3,11.33,5.478,126.203,71,5.7
2012,10,7,3,14,25.07,18.692,120.89,29,6
2012,10,17,4,42,30.04,3.993,124.526,329,6.1
2012,10,25,22,58,15.23,11.327,126.295,28,5.7
2012,10,27,15,46,24.23,10.576,126.969,77,5.8
2012,10,28,2,43,9.17,10.665,126.761,14,6
2012,11,2,18,17,33.2,9.309,126.404,28,6.6
2012,11,3,11,12,18.36,10.65,126.915,33,5.8
2012,11,4,23,46,36.43,4.738,124.573,15,5.8
2012,11,5,0,55,33.05,4.58,124.634,2,5.7
2012,11,5,8,48,9.26,4.777,124.704,14,5.7
2012,11,14,5,21,39.95,10.026,122.2,21,6.2
2012,11,18,20,1,22.65,5.821,125.897,135,5.8
2012,11,23,4,52,39.58,14.149,120.57,196,5.7
2012,11,24,20,28,49.35,6.516,123.625,630,5.7
2012,11,28,10,22,5.26,19.082,121.234,21,5.6
2012,12,6,0,43,23.89,11.056,126.578,26,5.9
2012,12,9,21,45,36.21,6.943,126.041,27,6.2
2012,12,22,18,7,18.3,19.161,121.317,82,5.7
2012,12,23,12,52,23.15,3.737,125.917,14,5.7
2012,12,24,12,58,20.01,3.887,126.597,50,5.7
2013,1,14,11,3,26.27,14.988,119.57,14,5.7
2013,1,19,13,48,4.09,11.399,125.446,52,6
2013,1,26,17,31,11.05,5.541,127.217,109,5.8
2013,1,30,2,32,14.65,10.751,126.835,19,6
2013,2,16,4,37,34.28,5.452,125.844,110,6.2
2013,3,18,22,1,51.19,3.184,127.119,21,5.2
2013,3,30,1,50,44.87,10.024,126.319,39,5.2
2013,4,4,2,27,5.49,15.859,121.695,25,5.4
2013,4,10,20,20,28.66,20.803,122.03,33,6.4
2013,4,12,10,34,7.77,4.371,127.831,103,5
2013,4,17,9,51,6.64,7.296,124.795,6,5.3
2013,5,1,5,37,58.87,15.095,123.281,45,5.8
2013,5,9,17,45,10.96,4.336,123.485,465,5.6
2013,5,24,2,17,20.49,2.133,127.875,24,5.2
2013,6,1,14,10,4.96,7.285,124.793,1,5.7
2013,6,2,20,8,26.12,7.36,124.794,12,5.7
2013,6,8,2,11,54.29,10.801,126.965,40,6.1
2013,6,8,7,37,2.22,10.839,126.857,28,5.8
2013,6,8,15,38,58.12,10.763,126.955,36,5.6
2013,7,15,1,28,50.11,7.338,124.814,3,5.8
2013,8,18,22,34,28.89,6.327,124.698,385,6
2013,9,3,23,46,53.59,5.243,125.752,110,5.9
2013,9,6,11,33,52.88,20.271,122.34,186,6.2
2013,9,16,4,8,1.16,5.97,126.127,142,5
2013,10,15,0,12,31.11,9.848,124.044,12,7.2
2013,10,15,2,42,0.89,9.873,124.009,9,5.7
2013,10,15,8,42,49.23,9.825,123.688,3,5.9
2013,10,15,8,52,18.26,9.909,124.009,5,5.7
2013,10,15,13,51,19.52,9.769,123.664,7,5.7
2013,10,16,1,36,59.19,9.745,123.615,1,5.8
2013,10,16,9,56,52.52,9.908,124.07,7,5.7
2013,10,19,20,40,40.95,10.031,124.238,5,5.1
2013,10,20,23,3,18.34,9.891,124.028,7,5.4
2013,10,22,20,53,55.45,5.284,125.916,19,5.1
2013,10,29,15,46,10.28,7.517,125.207,123,5.6
2013,11,1,13,58,39.68,9.849,124.123,5,5.8
2013,11,3,11,3,38.73,4.631,123.476,561,6
2013,11,19,13,32,55.86,2.814,128.334,176,6.1
2013,12,3,23,58,48.59,6.409,126.381,41,5.7
2013,12,17,22,43,2.2,3.148,126.817,1,5.9
2013,12,31,20,1,7.17,19.141,120.135,34,5.9
2013,12,31,21,32,2.67,19.169,120.077,33,5.7
2013,12,31,23,41,47.81,19.148,120.135,33,5.7
2014,1,2,9,56,11.12,10.454,126.644,15,5.1
2014,1,2,9,56,13.48,10.449,126.44,20,5.7
2014,1,5,14,41,23.96,2.81,128.228,8,5.6
2014,1,12,13,7,47.74,5.521,125.753,133,5.6
2014,1,26,2,41,37.95,11.246,124.7,1,5.6
2014,2,17,5,55,59.62,18.619,120.335,18,6.1
2014,3,15,10,55,12.76,10.645,126.89,32,5.8
2014,3,17,5,30,7.59,9.458,125.281,10,5.9
2014,4,15,2,43,45.7,8.852,126.78,1,5.7
2014,4,21,20,45,20.93,17.504,119.761,16,5.9
2014,4,28,0,43,51.89,19.729,120.055,47,5.4
2014,5,4,8,53,57.23,4.262,126.725,52,5.7
2014,5,9,5,44,23.72,5.634,125.738,126,6.1
2014,5,11,13,30,28.16,5.414,126.665,46,5.7
2014,5,15,10,16,43.14,9.304,121.868,38,6.4
2014,5,30,15,26,10.91,9.364,126.914,1,5.6
2014,5,30,16,36,22.18,9.424,126.931,31,5.7
2014,5,30,18,15,51.37,9.418,126.931,7,5.6
2014,5,31,18,46,50.15,9.386,126.773,116,5.7
2014,5,31,19,35,15.93,9.354,126.616,1,5.5
2014,5,31,19,44,42.1,9.404,126.752,80,5.6
2014,6,1,19,1,54.82,3.339,125.99,150,5.8
2014,6,1,19,21,21.49,9.445,127.136,22,5.7
2014,6,2,1,4,6.11,9.499,126.818,42,5.6
2014,6,4,4,17,8.51,6.051,126.47,70,5.7
2014,6,8,4,33,10.88,13.154,120.131,1,5.7
2014,6,9,21,45,13.16,10.14,121.978,5,5.1
2014,6,11,9,8,20.89,9.706,125.786,20,5.6
2014,6,22,16,34,53.98,2.685,128.038,150,5
2014,6,25,11,52,2.18,13.547,120.51,40,5.8
2014,7,14,8,0,0.01,5.51,126.406,31,6.4
2014,7,24,23,57,25.81,10.3,125.2,9,5.4
2014,8,7,5,24,52.88,4.471,126.286,43,5
2014,8,10,13,33,23.3,5.933,127.132,99,5.5
2014,9,1,2,49,47.87,19.384,121.581,48,5.2
2014,9,3,13,43,59.5,15.156,122.428,12,5.5
2014,9,7,15,55,54.7,5.435,128.27,63,6
2014,9,9,0,26,26.68,5.092,120.878,87,5.7
2014,9,17,10,36,48.24,6.541,126.785,26,5
2014,9,19,23,9,51.48,6.875,125.104,1,5.7
2014,9,20,4,26,9.94,6.747,124.979,15,6.4
2014,9,26,16,15,58.61,13.946,124.531,12,5.7
2014,10,3,8,5,44.13,11.44,122.12,13,6.1
2014,10,4,17,38,36.54,11.01,126.18,19,5.1
2014,10,10,12,58,19.97,4.446,126.296,13,5.6
2014,10,20,18,53,55.48,6.801,125.056,3,5.6
2014,10,22,2,30,29.16,6.73,125.006,4,5.7
2014,10,25,10,52,58.41,8.424,125.882,14,5.7
2014,10,27,8,34,19.21,9.73,126.752,25,5.7
2014,11,7,22,54,56.27,6.795,126.933,23,5.7
2014,11,10,4,41,15.19,10.029,126.837,7,5.9
2014,11,17,13,34,13.91,19.568,120.586,14,5.2
2014,11,17,13,34,13.91,19.568,120.586,14,5.2
2014,11,18,9,14,49.14,19.508,120.635,12,5.1
2014,11,21,3,29,10.81,20.749,119.918,31,6.2
2014,11,29,15,36,16.11,20.077,121.206,31,5.5
2014,12,2,5,11,26.61,5.928,123.374,686,6.5
2014,12,10,20,27,52.66,19.171,121.052,19,5.2
2014,12,20,0,25,17.22,11.645,126.291,1,6
2014,12,21,10,0,13.89,11.528,125.813,17,5.8
2014,12,29,9,29,36.96,8.593,121.392,32,6.1
2014,12,30,12,11,37.37,9.866,126.456,47,5.8
2014,12,31,9,26,23.27,13.724,120.506,107,5.4
2015,1,10,19,31,59.91,14.74,119.91,48,5.9
2015,1,13,15,33,24.62,13.006,124.523,3,5.7
2015,1,17,5,9,17.75,13.885,120.45,128,5.1
2015,1,18,0,27,18.92,13.912,120.492,117,5
2015,1,19,17,19,46.86,4.76,119.82,35,6
2015,1,20,3,2,14.57,5.84,126.995,51,5
2015,1,20,20,33,7.8,6.238,123.89,623,5.2
2015,1,21,5,20,22.75,5.592,125.467,44,5.2
2015,1,22,14,49,17.21,19.497,121.279,9,5.2
2015,1,26,7,9,50.13,9.817,122.262,16,5.1
2015,2,2,15,13,42.07,13.916,124.478,17,6.1
2015,2,6,8,3,15.37,9.647,126.361,22,5.8
2015,2,10,13,29,34.64,11.426,126.475,7,6.1
2015,2,10,16,9,23.09,14.004,120.36,101,5.6
2015,2,25,1,31,45.46,6.34,119.953,42,5.5
2015,3,26,16,46,44.67,5.764,126.631,45,5
2015,5,13,15,55,1.11,13.123,124.279,3,5.1
2015,6,7,15,45,22.93,10.956,126.674,49,5
2015,6,13,5,3,41.97,13.816,120.489,118,5
2015,6,15,21,4,17.34,3.816,126.165,28,5.8
2015,7,3,6,43,22.9,10.106,126.16,26,6.1
2015,7,5,12,56,45.51,17.999,122.584,1,5.9
2015,7,8,12,1,19.25,10.004,126.279,13,5.7
2015,7,17,14,19,59.64,9.163,126.964,19,5.6
2015,7,18,15,46,40.28,18.828,121.033,9,5.9
2015,7,25,8,41,7.2,12.941,124.792,42,5.8
2015,8,9,4,49,43.41,13.434,120.193,17,5.7
2015,9,2,1,18,28.41,4.271,124.855,330,6.4
2015,9,12,17,7,23.37,17.519,122.659,34,6.1
2015,9,17,8,34,56.61,5.662,125.784,4,5.7
2015,9,26,17,23,26.73,5.297,124.045,541,5.8
2015,10,19,13,50,42.36,13.842,120.38,89,6.2
2015,11,7,12,29,12.94,5.196,125.728,136,5.8
2015,11,7,19,40,10.88,16.547,119.422,32,5.8
2015,11,25,11,22,59.57,4.098,125.873,127,5.6
2015,12,17,12,44,1.76,17.755,120.512,60,5.8
2015,12,20,9,28,49.48,12.924,124.382,112,5.8
2015,12,26,22,11,15.32,10.01,126.167,29,5.8
2016,1,5,20,36,16.57,10.136,126.342,10,5.8
2016,1,11,16,37,56.3,2.969,127.415,42,6.5
2016,1,14,13,14,47.43,9.547,126.368,8,5.9
2016,1,25,9,17,38.02,2.563,128.698,64,5.6
2016,2,5,5,0,45.73,13.781,122.279,3,5.8
2016,2,28,9,6,25.61,5.19,125.408,178,6
2016,3,3,16,23,8.09,3.962,125.894,115,5.7
2016,3,12,4,0,28.67,18.246,120.098,23,4.9
2016,3,16,12,4,47.85,4.24,125.154,33,5.7
2016,3,16,13,9,51.61,4.576,125.244,42,6.1
2016,4,5,8,29,0.4,2.888,128.134,14,6.2
2016,4,13,18,21,52.01,7.834,121.965,27,6.3
2016,4,19,17,17,36.95,7.954,126.502,96,5.6
2016,4,19,18,33,26.7,15.589,119.952,33,5.6
2016,4,19,22,24,34.55,15.778,119.604,9,5.6
2016,4,25,18,13,13.28,21.168,121.23,15,5.8
2016,6,3,11,50,11.38,20.552,120.223,32,5.7
2016,6,19,18,20,53.91,19.96,121.378,26,6.2
2016,6,25,6,40,27.45,6.491,126.203,37,5.7
2016,7,26,14,29,8.35,9.672,125.466,12,5.9
2016,7,27,11,56,9.93,11.039,124.626,1,5.7
2016,8,6,9,8,23.23,6.202,125.313,74,5.9
2016,8,10,4,6,57.5,5.446,125.769,116,5.9
2016,8,10,8,17,41.13,5.483,125.421,56,5.9
2016,8,13,14,4,59.67,11.593,124.323,3,5.6
2016,9,2,8,39,15.05,6.352,123.772,1,5.6
2016,9,2,9,7,37.82,13.727,120.541,84,5.6
2016,9,4,2,38,12.37,8.389,125.805,6,6.3
2016,9,10,16,29,3.2,5.302,127.022,49,5.9
2016,9,16,7,50,49.59,5.797,125.681,180,5.8
2016,9,23,22,53,8.98,6.586,126.501,38,6.6
2016,10,2,13,40,8.39,16.5,119.718,20,6
2016,10,13,20,18,40.23,4.096,126.201,10,6.1
2016,10,14,18,29,3.91,9.096,125.469,34,5.8
2016,11,10,7,10,59.19,14.843,121.399,9,5.6
2016,12,4,5,24,3.48,4.324,127.864,124,6
2016,12,15,1,6,20.89,10.265,126.295,24,5.7
2016,12,19,20,44,40.4,10.236,125.934,41,5.9
2016,12,22,3,2,26.73,11.429,125.517,47,5.7
2016,12,23,16,9,31.46,9.956,126.414,17,5.8
2016,12,26,1,23,38.67,19.085,121.27,19,5.6
2017,1,10,6,13,44.57,4.289,122.963,661,7
2017,1,21,5,16,26.48,2.426,128.283,65,6
2017,2,10,14,3,42.05,9.895,125.386,9,6.7
2017,2,13,20,3,59.7,9.691,125.382,23,5.6
2017,2,25,18,57,22.27,10.61,127.215,52,5.7
2017,3,5,0,8,18.49,9.759,125.38,10,6.2
2017,3,29,3,30,23.45,2.641,125.997,109,6
2017,4,4,12,58,45.13,13.687,120.934,6,5.9
2017,4,8,7,7,54.96,13.66,120.881,8,6.2
2017,4,8,7,9,20.53,13.661,120.884,2,6.3
2017,4,10,0,43,52.96,13.033,125.601,19,5.9
2017,4,10,10,38,45.68,5.531,127.513,15,6.1
2017,4,10,11,8,15.53,5.763,127.319,54,5.7
2017,4,11,17,41,22.41,5.792,127.494,31,5.6
2017,4,11,21,20,58.86,7.709,124.655,1,6.3
2017,4,12,20,1,4.79,7.661,124.691,2,5.8
2017,4,13,16,5,47.2,5.633,127.481,9,5.8
2017,4,15,20,40,55.45,7.748,124.677,1,5.8
2017,4,23,1,19,44.67,9.177,126.387,21,5.8
2017,4,28,20,23,17.27,5.401,125.064,16,7
2017,5,20,1,6,12.54,9.431,124.161,564,6
2017,5,25,14,27,5.07,15.078,120.057,83,5.9
2017,6,9,12,58,23.25,5.484,125.146,23,5.8
2017,6,24,20,37,3.26,17.55,119.849,32,6.1
2017,6,26,7,41,31.01,10.232,126.179,17,5.8
2017,6,27,1,5,6.12,2.678,128.467,142,5.7
2017,7,6,8,3,54.43,11.127,124.705,4,6.6
2017,7,10,1,41,46.69,11.042,124.744,1,6.2
2017,7,25,19,51,46.14,10.163,121.945,4,5.6
2017,8,5,0,30,43.3,6.445,125.29,19,6.2
2017,8,5,7,39,17.94,7.937,125.066,10,5.7
2017,8,10,0,43,17.87,9.502,124.264,524,5.9
2017,8,11,5,28,24.86,13.95,120.528,176,6.5
2017,8,22,22,26,12.81,10.96,124.634,3,5.7
2017,8,29,22,8,33.47,19.225,121.093,18,5.8
2017,9,23,20,47,0,7.66,124.68,2,5.4
2017,10,21,1,32,11.12,3.797,127.782,54,5.9
2017,10,22,14,21,0.2,13.97,120.52,203,5.9
2017,11,8,7,23,20.77,6.212,125.897,113,5.7
2017,11,30,1,16,4.08,7.265,126.963,26,5.7
2017,11,30,18,57,55.15,7.779,124.778,1,5.7
2017,12,17,14,32,11.56,10.344,126.12,10,5.7
2017,12,25,12,47,37.16,3.574,126.297,33,6
2017,12,28,17,20,8.11,3.361,127.288,16,6.2
2017,12,31,14,53,27.34,5.191,124.984,19,5.8
2018,1,6,13,52,48.27,3.94,126.491,1,5.7
2018,1,6,13,52,50.41,3.905,126.626,25,5.6
2018,1,6,18,35,7.62,4.002,126.53,11,5.7
2018,1,14,15,20,25.67,13.284,120.246,7,
2018,1,14,15,49,21.66,13.276,120.228,5,5.8
2018,3,15,7,19,58.58,8.081,124.539,3,5.7
2018,3,24,10,34,31.43,10.202,126.229,20,5.7
2018,3,24,18,58,12.51,20.565,120.577,25,5.7
2018,4,3,9,14,3.28,2.923,127.954,60,6
2018,4,5,3,53,40.86,6.795,126.695,24,6.3
2018,5,5,6,19,3.48,14.611,124.078,33,6.4
2018,5,10,18,2,28.71,6.916,123.978,548,6.2
2018,5,10,20,6,21.31,5.542,126.651,79,5.6
2018,5,11,20,56,30.84,6.06,125.777,120,5.7
2018,5,13,15,33,30.95,5.329,125.581,174,5.9
2018,6,1,10,21,37.8,7.284,123.895,591,5.8
2018,6,13,14,59,7.78,6.485,126.353,125,5.7
2018,6,17,2,39,36.06,6.046,125.776,128,5.8
2018,6,17,9,46,23.63,14.973,119.642,16,5.9
2018,6,18,5,22,36.36,20.307,121.176,34,5.7
2018,7,3,4,25,53.56,13.999,120.371,125,5.8
2018,7,3,9,59,53.53,5.842,125.244,90,6.1
2018,7,10,16,24,16.17,9.764,125.402,8,5.7
2018,7,22,18,28,40.48,4.606,124.859,15,5.8
2018,8,21,4,10,29.05,19.153,121.209,17,5.6
2018,8,24,4,33,25.34,11.105,126.289,7,5.9
2018,8,31,14,40,27.26,13.579,120.716,110,5.9
2018,9,8,7,16,45.98,7.003,126.786,13,6.4
2018,9,10,11,57,0.39,10.717,126.462,1,5.8
2018,9,13,16,49,18.34,3.163,127.843,136,5.7
2018,9,27,4,44,24.49,10.538,126.607,1,5.6
2018,10,16,3,52,1.88,8.542,122.635,6,5.7
2018,10,17,18,34,51.11,12.397,124.584,112,5.7
2018,10,20,18,51,54.96,5.064,126.743,43,5.9
2018,10,28,8,9,52.73,3.802,126.467,1,5.8
2018,10,29,13,41,14.09,8.551,126.904,6,5.8
2018,10,29,14,40,34.25,8.514,126.843,9,5.9
2018,10,29,14,51,41.62,8.572,127.175,1,5.8
2018,11,4,7,55,26.88,7.781,124.023,629,6.3
2018,10,16,3,52,1.88,8.542,122.635,6,5.7
2018,10,20,18,51,54.96,5.064,126.743,43,5.9
2018,10,28,8,9,52.73,3.802,126.467,1,5.8
2018,10,29,13,41,14.09,8.551,126.904,6,5.8
2018,10,29,14,40,34.25,8.514,126.843,9,5.9
2018,10,29,14,51,41.62,8.572,127.175,1,5.8
2018,11,4,7,55,26.88,7.781,124.023,629,6.3
2018,12,6,14,13,43.44,6.637,125.676,169,5.9
2018,12,29,3,39,3.17,5.588,127.172,52,7
2018,12,29,9,12,58.67,5.602,127.043,43,5.9
2019,1,7,3,11,53,7.91,121.93,30,5.5
2019,1,15,20,3,22,5.95,126.87,40,6
2019,1,16,10,53,34,4.44,127.96,97,5.4
2019,1,18,18,51,55,2.96,129.06,127,5
2019,1,21,16,47,51,4.31,126.35,3,5.1
2019,1,24,8,34,53,19.17,121.25,27,5.5
2019,1,27,6,24,53,11.51,125.95,7,5.1
2019,2,5,23,17,47,2.76,128.46,195,5.1
2019,2,6,10,25,19,15.91,120.31,131,5.5
2019,2,8,11,55,5,9.79,126.59,11,5.9
2019,2,9,22,21,15,9.82,126.36,3,5.1
2019,2,10,14,33,32,9.88,126.45,8,5.1
2019,2,12,8,1,17,4.59,126.19,45,5.1
2019,3,1,1,0,40,4.93,125.46,186,5.1
2019,3,2,19,46,22,18.63,120.37,28,5.3
2019,3,6,0,12,55,8.34,127.31,14,5.5
2019,3,8,15,6,13,10.37,126.13,17,6.2
2019,3,15,23,7,54,6.14,125.34,96,5.6
2019,3,16,9,58,18,13.6,120.63,114,5.2
2019,4,1,2,16,53,10.61,125.93,28,5.4
2019,4,6,21,58,37,11.69,125.85,10,5.2
2019,4,15,1,32,59,19.17,120.89,4,5.2
2019,4,19,7,29,53,5.19,126.96,43,5.3
2019,4,22,9,11,9,15.02,120.34,10,6.1
2019,4,23,5,37,51,11.79,125.37,61,6.5
2019,4,26,5,26,59,9.78,126.79,11,5.5
2019,4,26,6,4,18,9.77,126.77,3,5
2019,4,26,8,4,22,9.79,126.74,12,5.5
2019,5,4,1,5,7,12.33,120.81,8,5.5
2019,5,5,1,56,4,8.83,126.99,23,5
2019,5,6,2,48,42,18.7,120.84,15,5.4
2019,5,12,8,59,53,19.3,121.1,20,5.2
2019,5,31,10,12,29,6.15,126.7,78,6.2
2019,6,1,9,45,26,6.09,126.7,76,5.4
2019,6,5,20,41,47,6.39,124.38,476,5.4
2019,6,29,19,0,6,9.6,124.95,30,5
2019,7,1,16,59,24,9.19,124.32,554,5.9
2019,7,9,12,36,58,6.83,125.02,10,5.6
2019,7,12,20,42,54,9.32,125.99,4,5.5
2019,7,26,20,16,53,20.98,122.21,15,5.4
2019,7,26,23,37,53,21.07,121.96,8,5.9
2019,7,27,1,24,42,20.89,121.84,13,5.8
2019,7,27,10,11,32,20.78,122.07,15,5.3
2019,8,2,16,10,9,6.02,126.03,144,5.6
2019,8,2,17,28,21,12.87,124.96,20,5
2019,8,31,13,2,19,7.47,126.76,29,5.2
2019,9,5,13,58,35,14.63,116.3,31,5.1
2019,9,8,13,49,10,5.61,125.74,46,5
2019,9,8,14,6,0,5.61,125.74,46,5
2019,9,10,5,39,22,6.55,126.42,59,5.8
2019,9,10,5,42,0,6.55,126.42,59,5.8
2019,9,13,8,28,16,15.1,122.23,55,5.3
2019,9,18,7,0,56,5.07,126.64,28,5.6
2019,9,20,18,4,19,14.1,124.59,1,5
2019,9,29,2,2,50,5.52,126.66,63,6.4
2019,9,29,7,40,14,5.43,126.63,58,5.3
2019,10,16,11,37,5,6.76,125.01,9,6.3
2019,10,16,12,9,29,6.76,125.01,9,5.5
2019,10,16,20,53,52,7.25,126.6,128,5.2
2019,10,17,1,28,47,4.55,126.42,66,5.3
2019,10,17,6,18,19,6.79,124.98,1,5.2
2019,10,18,22,52,15,6.83,125,17,5
2019,10,29,1,4,43,6.81,125.03,7,6.6
2019,10,29,2,42,38,6.85,125.02,11,6.1
2019,10,29,8,33,13,7.03,125,2,5.4
2019,10,29,21,22,7,6.86,125.06,5,5
2019,10,31,1,11,18,6.92,125.06,8,6.5
2019,11,1,2,33,54,2.73,126.82,33,5.5
2019,11,1,6,7,55,6.8,125.11,2,5
2019,11,6,20,52,56,14.98,122.65,7,5.5
2019,11,8,5,31,42,10.75,125.63,23,5.2
2019,11,8,19,57,17,4.78,127.82,89,5
2019,11,18,13,22,8,7.67,124.89,6,5.9
2019,12,5,12,24,40,5.24,127,33,5.6
2019,12,15,6,11,49,6.76,125.13,9,6.9
2019,12,15,7,9,20,6.61,125.36,1,5.2
2019,12,17,20,18,5,6.53,125.32,10,5.3
2019,12,25,16,56,20,3.64,126.72,34,5.4
2020,1,5,18,58,50,6.01,126.35,58,5.4
2020,1,5,19,25,35,5.45,125.52,1,5
2020,1,11,22,53,46,9.42,126.27,28,5
2020,2,6,13,40,2,5.28,126.56,1,6.1
2020,2,20,9,54,6,5.67,125.68,193,5.4
2020,2,27,19,13,3,3.88,126.01,135,5.5
2020,3,1,21,19,20,11.32,124.55,10,5.4
2020,3,12,22,0,47,14.66,118.94,33,5
2020,3,18,3,13,28,2.83,127.62,168,5.4
2020,3,19,20,8,18,14.78,124.23,8,5
2020,3,26,3,38,2,5.46,125.1,48,6.1
2020,4,10,16,44,56,20.51,122.08,171,6
2020,4,10,18,45,49,5.61,126.6,75,5.1
2020,4,11,20,23,47,2.42,126.95,126,5.1
2020,4,15,1,7,54,11.42,125.14,87,5.1
2020,4,15,2,1,7,19.71,121.94,9,5
2020,4,19,1,9,33,3.92,126.12,102,5.1
2020,4,26,23,48,43,5.82,127.06,43,5.2
2020,5,9,19,18,12,14.03,120.22,82,5.4
2020,5,20,12,45,5,5.03,126.12,75,5
2020,5,23,2,10,24,15.57,121.52,7,5.1
2020,5,28,5,17,30,16.72,120.2,57,5.2
2020,5,30,13,6,22,3.66,126.53,71,5.6
2020,6,4,8,49,33,2.92,128.83,123,6.6
2020,6,5,13,37,56,12.74,121.07,15,5.1
2020,6,22,8,2,43,17.21,119.93,4,5
2020,6,26,11,54,58,19.11,121.19,29,5.4
2020,7,26,3,12,25,6.35,126.93,63,5.6
2020,7,27,17,32,44,8.89,126.57,45,5.8
2020,7,31,6,6,39,8.51,126.84,19,5.7
2020,8,1,17,8,56,7.2,124.32,537,6.4
2020,8,12,22,32,39,19.98,121.24,20,5.4
